business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
2739,ROSE'S CAFE,2298 Union St,94123,37.796927,-122.436974,-957725837,2018-11-07,83,Routine - Unscheduled,103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,2018-11-07,1970-01-01T12:00:00.000Z
5000,PEET'S COFFEE & TEA,2257 MARKET St,94114,37.764947,-122.432012,1803984387,2019-07-23,96,Routine - Unscheduled,103161,Low risk vermin infestation,Low Risk,2019-07-23,1970-01-01T12:00:00.000Z
902,MARCELLO'S PIZZA,420 CASTRO St,94114,37.762057,-122.435145,25857414,2017-06-30,94,Routine - Unscheduled,103139,Improper food storage,Low Risk,2017-06-30,1970-01-01T12:00:00.000Z
4108,Hornblower Cruises & Events/SF Belle,Pier 3,94111,37.797473,-122.39592,-1496670097,2019-03-19,88,Routine - Unscheduled,103143,Inadequate warewashing facilities or equipment,Low Risk,2019-03-19,1970-01-01T12:00:00.000Z
3070,FLOWER MARKET CAFE,698 BRANNAN St,94107,37.775664,-122.399999,2077502403,2018-04-19,74,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2018-04-19,1970-01-01T12:00:00.000Z
5870,CARMICHAEL ELEMENTARY SCHOOL,55 SHERMAN St,94103,37.776948,-122.406342,-1390348647,2017-09-05,94,Routine - Unscheduled,103157,Food safety certificate or food handler card not available,Low Risk,2017-09-05,1970-01-01T12:00:00.000Z
1734,SAI JAI THAI,771 O'FARRELL St,94109,37.785182,-122.417409,1621498386,2019-02-26,70,Routine - Unscheduled,103133,Foods not protected from contamination,Moderate Risk,2019-02-26,1970-01-01T12:00:00.000Z
19357,Original Buffalo Wings,2499 Lombard St,94123,37.799095,-122.442457,-1310070380,2018-01-16,69,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2018-01-16,1970-01-01T12:00:00.000Z
2739,ROSE'S CAFE,2298 Union St,94123,37.796927,-122.436974,-957726437,2018-05-07,90,Routine - Unscheduled,103161,Low risk vermin infestation,Low Risk,2018-05-07,1970-01-01T12:00:00.000Z
7636,LEE'S FOOD MARKET,1397 Revere Ave,94124,37.729455,-122.386364,-884017669,2016-10-19,81,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2016-10-19,1970-01-01T12:00:00.000Z
